lambda,mu,theta,p,gamma,regime,target_aband_eps,c_sim_argmin,abandon_sim_at_c,c_fluid_lower_bound,c_diffusion
80.0,0.5,1.0,0.5,0.5,UL,0.01,265.0,0.01,240.0,259.24
80.0,0.5,1.0,0.5,0.5,UL,0.05,242.0,0.05,240.0,234.67
80.0,0.5,1.0,0.5,0.5,OL,0.1,227.0,0.1,216.0,218.12
80.0,0.5,1.0,0.5,0.5,OL,0.25,186.0,0.25,180.0,180.04
80.0,0.5,1.0,0.5,0.5,OL,0.5,140.0,0.44,120.0,120.0
80.0,1.0,0.5,0.5,0.5,UL,0.01,180.0,0.01,160.0,170.5
80.0,1.0,0.5,0.5,0.5,UL,0.05,164.0,0.05,160.0,155.19
80.0,1.0,0.5,0.5,0.5,OL,0.1,155.0,0.1,144.0,144.8
80.0,1.0,0.5,0.5,0.5,OL,0.25,129.0,0.24,120.0,120.0
80.0,1.0,0.5,0.5,0.5,OL,0.5,85.0,0.5,80.0,80.0
80.0,1.0,1.0,0.1,0.5,UL,0.01,108.0,0.01,96.0,106.7
80.0,1.0,1.0,0.1,0.5,UL,0.05,97.0,0.05,96.0,95.16
80.0,1.0,1.0,0.1,0.5,OL,0.1,90.0,0.09,86.4,87.85
80.0,1.0,1.0,0.1,0.5,OL,0.25,75.0,0.23,72.0,72.05
80.0,1.0,1.0,0.1,0.5,OL,0.5,49.0,0.5,48.0,48.0
80.0,1.0,1.0,0.5,0.1,UL,0.01,551.0,0.01,480.0,540.71
80.0,1.0,1.0,0.5,0.1,UL,0.05,513.0,0.05,480.0,479.07
80.0,1.0,1.0,0.5,0.1,OL,0.1,479.0,0.1,432.0,440.82
80.0,1.0,1.0,0.5,0.1,OL,0.25,398.0,0.25,360.0,360.4
80.0,1.0,1.0,0.5,0.1,OL,0.5,380.0,0.29,240.0,240.0
80.0,1.0,1.0,0.5,0.5,UL,0.01,184.0,0.01,160.0,177.22
80.0,1.0,1.0,0.5,0.5,UL,0.05,167.0,0.05,160.0,158.33
80.0,1.0,1.0,0.5,0.5,OL,0.1,156.0,0.09,144.0,146.28
80.0,1.0,1.0,0.5,0.5,OL,0.25,128.0,0.25,120.0,120.08
80.0,1.0,1.0,0.5,0.5,OL,0.5,85.0,0.5,80.0,80.0
80.0,1.0,1.0,0.5,1.0,UL,0.01,136.0,0.01,120.0,132.17
80.0,1.0,1.0,0.5,1.0,UL,0.05,123.0,0.05,120.0,118.42
80.0,1.0,1.0,0.5,1.0,OL,0.1,114.0,0.1,108.0,109.55
80.0,1.0,1.0,0.5,1.0,OL,0.25,95.0,0.24,90.0,90.05
80.0,1.0,1.0,0.5,1.0,OL,0.5,63.0,0.5,60.0,60.0
80.0,1.0,1.0,0.5,10.0,UL,0.01,94.0,0.01,84.0,92.73
80.0,1.0,1.0,0.5,10.0,UL,0.05,84.0,0.04,84.0,82.99
80.0,1.0,1.0,0.5,10.0,OL,0.1,77.0,0.1,75.6,76.73
80.0,1.0,1.0,0.5,10.0,OL,0.25,64.0,0.24,63.0,63.04
80.0,1.0,1.0,0.5,10.0,OL,0.5,43.0,0.49,42.0,42.0
