lambda,mu,theta,p,gamma,regime,target_delay_eps,c_sim_argmin,delay_sim_at_c,c_fluid,c_diffusion
80.0,0.5,1.0,0.5,0.5,UL,0.01,289.0,0.01,267.14,273.24
80.0,0.5,1.0,0.5,0.5,UL,0.05,277.0,0.04,260.81,265.48
80.0,0.5,1.0,0.5,0.5,UL,0.1,269.0,0.09,256.21,259.85
80.0,0.5,1.0,0.5,0.5,UL,0.25,258.0,0.24,248.53,250.45
80.0,0.5,1.0,0.5,0.5,UL,0.5,242.0,0.49,240.0,240.0
80.0,1.0,0.5,0.5,0.5,UL,0.01,203.0,0.01,179.19,187.14
80.0,1.0,0.5,0.5,0.5,UL,0.05,194.0,0.04,174.71,180.81
80.0,1.0,0.5,0.5,0.5,UL,0.1,187.0,0.1,171.46,176.21
80.0,1.0,0.5,0.5,0.5,UL,0.25,180.0,0.21,166.03,168.53
80.0,1.0,0.5,0.5,0.5,UL,0.5,171.0,0.45,160.0,160.0
80.0,1.0,1.0,0.1,0.5,UL,0.01,123.0,0.01,115.19,117.02
80.0,1.0,1.0,0.1,0.5,UL,0.05,116.0,0.05,110.71,112.12
80.0,1.0,1.0,0.1,0.5,UL,0.1,111.0,0.09,107.46,108.56
80.0,1.0,1.0,0.1,0.5,UL,0.25,105.0,0.24,102.03,102.61
80.0,1.0,1.0,0.1,0.5,UL,0.5,98.0,0.48,96.0,96.0
80.0,1.0,1.0,0.5,0.1,UL,0.01,576.0,0.01,499.19,527.01
80.0,1.0,1.0,0.5,0.1,UL,0.05,564.0,0.05,494.71,516.04
80.0,1.0,1.0,0.5,0.1,UL,0.1,552.0,0.09,491.46,508.08
80.0,1.0,1.0,0.5,0.1,UL,0.25,533.0,0.23,486.03,494.78
80.0,1.0,1.0,0.5,0.1,UL,0.5,510.0,0.5,480.0,480.0
80.0,1.0,1.0,0.5,0.5,UL,0.01,203.0,0.01,179.19,187.14
80.0,1.0,1.0,0.5,0.5,UL,0.05,191.0,0.04,174.71,180.81
80.0,1.0,1.0,0.5,0.5,UL,0.1,188.0,0.1,171.46,176.21
80.0,1.0,1.0,0.5,0.5,UL,0.25,179.0,0.24,166.03,168.53
80.0,1.0,1.0,0.5,0.5,UL,0.5,169.0,0.44,160.0,160.0
80.0,1.0,1.0,0.5,1.0,UL,0.01,154.0,0.01,139.19,143.5
80.0,1.0,1.0,0.5,1.0,UL,0.05,146.0,0.04,134.71,138.02
80.0,1.0,1.0,0.5,1.0,UL,0.1,141.0,0.1,131.46,134.04
80.0,1.0,1.0,0.5,1.0,UL,0.25,132.0,0.25,126.03,127.39
80.0,1.0,1.0,0.5,1.0,UL,0.5,125.0,0.45,120.0,120.0
80.0,1.0,1.0,0.5,10.0,UL,0.01,107.0,0.01,103.19,103.67
80.0,1.0,1.0,0.5,10.0,UL,0.05,101.0,0.04,98.71,99.08
